source	target	interaction	splice_status	weight	shade	status
SMAD5_PF03166	SMAD5	Common	normal	2	0	solid
SKI_PF08782	SMAD3_PF03166	Common	normal	2	0	arrow
SMAD3_PF03166	SMAD3	Common	normal	2	0	solid
AHRR	AHRR_PF00989	Common	normal	2	0	solid
AHRR_PF00989	ARNT_PF00010	Common	normal	2	0	arrow
ARNT_PF00010	ARNT	Common	normal	2	0	solid
STAT3_PF00017	STAT6_PF02864	Common	normal	1.80555555555556	0	arrow
STAT6_PF02864	STAT6	Common	normal	1.80555555555556	0	solid
MAPK14_PF00069	RELA_PF00554	Common	normal	2	0	arrow
RELA_PF00554	RELA	Common	normal	2	0	solid
RBBP4_PF00400	SP3_PF00096	Common	normal	2	0	arrow
SP3	SP3_PF00096	Common	normal	0.138888888888889	0	solid
RBBP4_PF00400	FUS_PF00076	Common	normal	2	0	arrow
FUS	FUS_PF00076	Common	normal	2	0	solid
FUS_PF00076	ARID2_PF01388	Common	normal	2	0	arrow
ARID2_PF01388	ARID2	Common	normal	2	0	solid
CREBBP	CREBBP_PF02135	Common	normal	2	0	solid
CREBBP_PF02135	EPAS1_PF08778	Common	normal	2	0	arrow
EPAS1_PF08778	EPAS1	Common	normal	2	0	solid
KLF6	KLF6_PF00096	Common	normal	1.52777777777778	0	solid
KLF6_PF00096	SP1_PF00096	Common	normal	1.52777777777778	0	arrow
SP1	SP1_PF00096	Common	normal	2	0	solid
ZFHX4	ZFHX4_PF00096	Common	normal	1.83333333333333	0	solid
ZFHX4_PF00096	FOXJ2_PF00250	Common	normal	1.83333333333333	0	arrow
FOXJ2_PF00250	FOXJ2	Common	normal	1.83333333333333	0	solid
ARNT	ARNT_PF14598	Common	normal	2	0	solid
ARNT_PF14598	NCOA2_PF00989	Common	normal	2	0	arrow
NCOA2_PF00989	NCOA2	Common	normal	2	0	solid
MAML3	MAML3_PF09596	Common	normal	1.88888888888889	0	solid
MAML3_PF09596	RBPJ_PF09271	Common	normal	1.88888888888889	0	arrow
RBPJ_PF09271	RBPJ	Common	normal	1.88888888888889	0	solid
MEF2C	MEF2C_PF00319	Common	normal	2	0	solid
MEF2C_PF00319	MEF2B_PF00319	Common	normal	2	0	arrow
MEF2B_PF00319	MEF2B	Common	normal	2	0	solid
MEF2C_PF00319	MEF2A_PF00319	Common	normal	2	0	arrow
MEF2A_PF00319	MEF2A	Common	normal	2	0	solid
SP1_PF00096	PRKCD_PF00069	Common	normal	2	0	arrow
PRKCD_PF00069	PRKCD	Common	normal	2	0	solid
CREBBP	CREBBP_PF02172	Common	normal	2	0	solid
CREBBP_PF02172	FOXO3_PF16675	Common	normal	2	0	arrow
FOXO3_PF16675	FOXO3	Common	normal	2	0	solid
CREBBP_PF02172	FOXO3_PF16676	Common	normal	2	0	arrow
FOXO3_PF16676	FOXO3	Common	normal	2	0	solid
NCOA2	NCOA2_PF08815	Common	normal	1.22222222222222	0	solid
NCOA2_PF08815	CREBBP_PF09030	Common	normal	1.22222222222222	0	arrow
CREBBP_PF09030	CREBBP	Common	normal	1.22222222222222	0	solid
Perturbation	Perturbation_Perturbation	Common	normal	2	0	solid
Perturbation_Perturbation	H3F3A_PF00125	Common	normal	1.55555555555556	0	arrow
Perturbation_Perturbation	JDP2_PF00170	Common	normal	2	0	arrow
Perturbation_Perturbation	STK40_PF00069	Common	normal	2	0	arrow
Perturbation_Perturbation	SKI_PF02437	Common	normal	2	0	arrow
