source	target	interaction	splice_status	weight	shade	status
E2F2_PF02319	E2F2	Common	normal	2	0	solid
TBP_PF00352	NFYB_PF00808	Common	normal	2	0	arrow
NFYB	NFYB_PF00808	Common	normal	2	0	solid
LMO2_PF00412	GATA1_PF00320	Common	normal	2	0	arrow
GATA1_PF00320	GATA1	Common	normal	2	0	solid
NFYB_PF00808	NFYA_PF02045	Common	normal	2	0	arrow
NFYA_PF02045	NFYA	Common	normal	2	0	solid
Perturbation	Perturbation_Perturbation	Common	normal	2	0	solid
Perturbation_Perturbation	H3F3A_PF00125	Common	normal	2	0	arrow
Perturbation_Perturbation	TAF1_PF00439	Common	normal	1.69230769230769	0	arrow
TAF1_PF00439	TAF1	Common	normal	1.69230769230769	0	solid
Perturbation_Perturbation	E2F6_PF16421	Common	normal	2	0	arrow
Perturbation_Perturbation	NEK6_PF00069	Common	normal	2	0	arrow
Perturbation_Perturbation	STK40_PF00069	Common	normal	2	0	arrow
Perturbation_Perturbation	ID2_PF00010	Common	normal	2	0	arrow
Perturbation_Perturbation	KLF5_PF00096	Common	normal	2	0	arrow
Perturbation_Perturbation	MAFF_PF03131	Common	normal	2	0	arrow
MAFF_PF03131	MAFF	Common	normal	2	0	solid
Perturbation_Perturbation	IRF1_PF00605	Common	normal	2	0	arrow
Perturbation_Perturbation	KANK2_PF12796	Common	normal	1.69230769230769	0	arrow
Perturbation_Perturbation	KANK2_PF00023	Common	normal	1.69230769230769	0	arrow
KANK2_PF00023	KANK2	Common	normal	1.69230769230769	0	solid
Perturbation_Perturbation	ARID3A_PF01388	Common	normal	2	0	arrow
ARID3A	ARID3A_PF01388	Common	normal	0.115384615384615	0	solid
Perturbation_Perturbation	SAMD4A_PF00536	Common	normal	1.69230769230769	0	arrow
Perturbation_Perturbation	KLF6_PF00096	Common	normal	2	0	arrow
KLF6	KLF6_PF00096	Common	normal	0.0384615384615385	0	solid
TAF13	TAF13_PF02269	Common	normal	0.115384615384615	0	solid
TAF13_PF02269	TBP_PF00352	Common	normal	0.115384615384615	0	arrow
Perturbation_Perturbation	TAF13_PF02269	Common	normal	0.115384615384615	0	arrow
SREBF2_PF00010	AURKA_PF00069	Common	normal	0.384615384615385	0	arrow
BRF1	BRF1_PF07741	Common	normal	0.153846153846154	0	solid
BRF1_PF07741	TBP_PF00352	Common	normal	0.153846153846154	0	arrow
BRF1	BRF1_PF08271	Common	normal	0.153846153846154	0	solid
BRF1_PF08271	TBP_PF00352	Common	normal	0.153846153846154	0	arrow
Perturbation_Perturbation	BRF1_PF07741	Common	normal	0.153846153846154	0	arrow
Perturbation_Perturbation	BRF1_PF08271	Common	normal	0.153846153846154	0	arrow
ISL2	ISL2_PF00412	Common	normal	0.192307692307692	0	solid
ISL2_PF00412	LMO2_PF00412	Common	normal	0.192307692307692	0	arrow
Perturbation_Perturbation	ISL2_PF00412	Common	normal	0.192307692307692	0	arrow
AURKA_PF00069	EHMT2_PF12796	Common	normal	0.0769230769230769	0	arrow
EHMT2	EHMT2_PF12796	Common	normal	0.115384615384615	0	solid
EHMT2_PF12796	LMO2_PF00412	Common	normal	0.115384615384615	0	arrow
