source	target	interaction	splice_status	weight	shade	status
ARNT_PF14598	NCOA2_PF00989	Common	normal	2	0	arrow
NCOA2_PF00989	NCOA2	Common	normal	2	0	solid
GABPB1	GABPB1_PF12796	Common	normal	2	0	solid
GABPB1_PF12796	GABPA_PF00178	Common	normal	2	0	arrow
GABPA_PF00178	GABPA	Common	normal	2	0	solid
E2F6	E2F6_PF02319	Common	normal	2	0	solid
E2F6_PF02319	TFDP1_PF02319	Common	normal	2	0	arrow
TFDP1_PF02319	TFDP1	Common	normal	2	0	solid
E2F6	E2F6_PF16421	Common	normal	2	0	solid
E2F6_PF16421	TFDP1_PF08781	Common	normal	2	0	arrow
TFDP1	TFDP1_PF08781	Common	normal	2	0	solid
PBX2	PBX2_PF00046	Common	normal	2	0	solid
PBX2_PF00046	MEIS2_PF05920	Common	normal	2	0	arrow
MEIS2	MEIS2_PF05920	Common	normal	2	0	solid
CREBBP	CREBBP_PF00439	Common	normal	1.88888888888889	0	solid
CREBBP_PF00439	TCF12_PF00010	Common	normal	1.88888888888889	0	arrow
TCF12_PF00010	TCF12	Common	normal	1.88888888888889	0	solid
CREBBP_PF00439	RBBP7_PF00400	Common	normal	1.88888888888889	0	arrow
RBBP7	RBBP7_PF00400	Common	normal	2	0	solid
PPP1CA_PF00149	ZBTB11_PF00096	Common	normal	1.44444444444444	0	arrow
ZBTB11_PF00096	ZBTB11	Common	normal	1.44444444444444	0	solid
RBBP7_PF00400	CHD4_PF00176	Common	normal	1.22222222222222	0	arrow
CHD4_PF00176	CHD4	Common	normal	1.22222222222222	0	solid
RBBP7_PF00400	HBP1_PF00505	Common	normal	2	0	arrow
HBP1_PF00505	HBP1	Common	normal	2	0	solid
MEIS2_PF05920	MEIS1_PF05920	Common	normal	2	0	arrow
MEIS1_PF05920	MEIS1	Common	normal	2	0	solid
TFDP1_PF08781	E2F5_PF16421	Common	normal	2	0	arrow
E2F5_PF16421	E2F5	Common	normal	2	0	solid
NCOA2	NCOA2_PF08815	Common	normal	1.88888888888889	0	solid
NCOA2_PF08815	CREBBP_PF09030	Common	normal	1.88888888888889	0	arrow
CREBBP_PF09030	CREBBP	Common	normal	1.88888888888889	0	solid
Perturbation	Perturbation_Perturbation	Common	normal	2	0	solid
Perturbation_Perturbation	JDP2_PF00170	Common	normal	2	0	arrow
Perturbation_Perturbation	E2F6_PF16421	Common	normal	2	0	arrow
Perturbation_Perturbation	NEK6_PF00069	Common	normal	1.88888888888889	0	arrow
Perturbation_Perturbation	STK40_PF00069	Common	normal	2	0	arrow
Perturbation_Perturbation	AHRR_PF00989	Common	normal	2	0	arrow
Perturbation_Perturbation	ZBTB33_PF00651	Common	normal	2	0	arrow
ZBTB33_PF00651	ZBTB33	Common	normal	2	0	solid
Perturbation_Perturbation	RFX5_PF18326	Common	normal	2	0	arrow
RFX5_PF18326	RFX5	Common	normal	2	0	solid
