source	target	interaction	splice_status	weight	shade	status
CEBPB_PF07716	CEBPB	Common	normal	1.84551724137931	0.0855172413793104	solid
NFKB1	NFKB1_PF00554	Common	normal	1.84551724137931	0.0855172413793104	solid
NFKB1_PF00554	CEBPB_PF07716	Common	normal	1.84551724137931	0.0855172413793104	arrow
LYL1	LYL1_PF00010	Common	normal	2	0	solid
LYL1_PF00010	NFKB1_PF00554	Common	normal	2	0	arrow
PDE8A	PDE8A_PF00989	Common	normal	2	0	solid
PDE8A_PF00989	NR1H3_PF00105	Common	normal	2	0	arrow
NR1H3_PF00105	NR1H3	Common	normal	2	0	solid
CREBBP	CREBBP_PF02135	Common	normal	2	0	solid
CREBBP_PF02135	STAT1_PF12162	Common	normal	2	0	arrow
STAT1_PF12162	STAT1	Common	normal	2	0	solid
CREBBP_PF02135	EPAS1_PF08778	Common	normal	2	0	arrow
EPAS1_PF08778	EPAS1	Common	normal	2	0	solid
E2F1	E2F1_PF16421	Network_A	normal	0.586206896551724	1	solid
E2F1_PF16421	RB1_PF08934(ENST00000267163)	Network_A	spliced	0.586206896551724	1	arrow
RB1	RB1_PF08934(ENST00000267163)	Network_A	normal	1	1	solid
RB1_PF08934(ENST00000267163)	E2F4_PF16421	Network_A	spliced	1	1	arrow
E2F4_PF16421	E2F4	Network_A	normal	1	1	solid
ZFHX4	ZFHX4_PF00096	Common	normal	1.90103448275862	-0.0389655172413793	solid
ZFHX4_PF00096	FOXJ2_PF00250	Common	normal	1.90103448275862	-0.0389655172413793	arrow
FOXJ2_PF00250	FOXJ2	Common	normal	1.90103448275862	-0.0389655172413793	solid
MAPK3_PF00069	SP1_PF00096	Common	normal	1.83954022988506	-0.000459770114942581	arrow
SP1	SP1_PF00096	Common	normal	2	0	solid
MAPK3_PF00069	SREBF2_PF00010	Common	normal	2	0	arrow
SREBF2_PF00010	SREBF2	Common	normal	2	0	solid
MAPK3_PF00069	CREBBP_PF00439	Common	normal	2	0	arrow
CREBBP	CREBBP_PF00439	Common	normal	2	0	solid
MAPK3_PF00069	ATF2_PF00170	Common	normal	1.91402298850575	-0.00597701149425289	arrow
ATF2	ATF2_PF00170	Common	normal	0.15448275862069	-0.0855172413793103	solid
CREBBP_PF00439	MYB_PF00249	Common	normal	2	0	arrow
MYB_PF00249	MYB	Common	normal	2	0	solid
SP1_PF00096	FOXM1_PF00250	Common	normal	2	0	arrow
FOXM1_PF00250	FOXM1	Common	normal	2	0	solid
TFDP2_PF02319	E2F1_PF02319	Common	normal	2	0	arrow
E2F1_PF02319	E2F1	Common	normal	2	0	solid
TFDP2_PF02319	E2F2_PF02319	Common	normal	2	0	arrow
E2F2_PF02319	E2F2	Common	normal	2	0	solid
