source	target	interaction	splice_status	weight	shade	status
CHD4_PF00628	EHMT2_PF00856	Common	normal	1.93846153846154	0	arrow
EHMT2	EHMT2_PF00856	Common	normal	1.93846153846154	0	solid
TEAD2	TEAD2_PF17725	Common	normal	2	0	solid
TEAD2_PF17725	TEAD1_PF17725	Common	normal	2	0	arrow
TEAD1_PF17725	TEAD1	Common	normal	2	0	solid
FUS_PF00076	CHD4_PF00176	Common	normal	1.87692307692308	0	arrow
CHD4_PF00176	CHD4	Common	normal	1.87692307692308	0	solid
FUS_PF00076	CHD4_PF00271	Common	normal	1.87692307692308	0	arrow
CHD4	CHD4_PF00271	Common	normal	2	0	solid
FUS_PF00076	ARID2_PF01388	Common	normal	2	0	arrow
ARID2_PF01388	ARID2	Common	normal	2	0	solid
PDE8A	PDE8A_PF00989	Common	normal	2	0	solid
PDE8A_PF00989	NR1H3_PF00105	Common	normal	2	0	arrow
NR1H3	NR1H3_PF00105	Common	normal	1.81538461538462	0	solid
CHD4_PF00271	TCF7L2_PF00505	Common	normal	2	0	arrow
TCF7L2_PF00505	TCF7L2	Common	normal	2	0	solid
CHD4_PF00271	NIFK_PF00076	Common	normal	1.93846153846154	0	arrow
NIFK	NIFK_PF00076	Common	normal	1.93846153846154	0	solid
CHD4_PF00628	NIFK_PF00076	Common	normal	1.93846153846154	0	arrow
MAPK8_PF00069	JUNB_PF00170	Common	normal	2	0	arrow
JUNB_PF00170	JUNB	Common	normal	2	0	solid
MAPK8_PF00069	AKT1_PF00433	Common	normal	2	0	arrow
AKT1_PF00433	AKT1	Common	normal	2	0	solid
ARNT	ARNT_PF14598	Common	normal	2	0	solid
ARNT_PF14598	AHR_PF00989	Common	normal	2	0	arrow
AHR_PF00989	AHR	Common	normal	2	0	solid
ARNT_PF14598	NCOA2_PF00989	Common	normal	2	0	arrow
NCOA2_PF00989	NCOA2	Common	normal	2	0	solid
MAML3	MAML3_PF09596	Common	normal	1.66153846153846	0	solid
MAML3_PF09596	RBPJ_PF09271	Common	normal	1.66153846153846	0	arrow
RBPJ_PF09271	RBPJ	Common	normal	1.66153846153846	0	solid
ARNT	ARNT_PF00989	Common	normal	1.87692307692308	0	solid
ARNT_PF00989	HNF4A_PF00104	Common	normal	1.87692307692308	0	arrow
HNF4A_PF00104	HNF4A	Common	normal	1.87692307692308	0	solid
MAPK3_PF00069	SREBF2_PF00010	Common	normal	2	0	arrow
SREBF2_PF00010	SREBF2	Common	normal	2	0	solid
MAPK3_PF00069	FOXP2_PF00250	Common	normal	2	0	arrow
FOXP2_PF00250	FOXP2	Common	normal	2	0	solid
HNRNPL_PF00076	NFIC_PF03165	Common	normal	1.90769230769231	0	arrow
NFIC_PF03165	NFIC	Common	normal	1.90769230769231	0	solid
MEIS3	MEIS3_PF05920	Common	normal	2	0	solid
