source	target	interaction	splice_status	weight	shade	status
HNF4G_PF00104	NR0B2_PF00104	Common	normal	0.111111111111111	0	arrow
NR0B2	NR0B2_PF00104	Common	normal	0.333333333333333	0	solid
NR0B2_PF00104	RARA_PF00104	Common	normal	0.333333333333333	0	arrow
RARA_PF00104	RARA	Common	normal	0.444444444444444	0	solid
JDP2_PF00170	JUN_PF00170	Common	normal	0.666666666666667	0	arrow
HNF4A	HNF4A_PF00105	Common	normal	0.222222222222222	0	solid
HNF4A_PF00105	NR0B2_PF00104	Common	normal	0.222222222222222	0	arrow
TP53_PF00870	MAPK1_PF00069	Common	normal	0.111111111111111	0	arrow
MAPK1	MAPK1_PF00069	Common	normal	0.444444444444444	0	solid
MAPK1_PF00069	RARA_PF00104	Common	normal	0.444444444444444	0	arrow
RELA	RELA_PF00554	Common	normal	0.333333333333333	0	solid
RELA_PF00554	REL_PF16179	Common	normal	0.222222222222222	0	arrow
RELA_PF00554	MAPK1_PF00069	Common	normal	0.333333333333333	0	arrow
NFKBIA_PF00023	REL_PF00554	Common	normal	0.111111111111111	0	arrow
NFKBIA_PF00023	REL_PF16179	Common	normal	0.111111111111111	0	arrow
PIK3R1	PIK3R1_PF16454	Common	normal	0.111111111111111	0	solid
PIK3R1_PF16454	INPPL1_PF00017	Common	normal	0.111111111111111	0	arrow
NFKBIA_PF00023	PIK3R1_PF00017	Common	normal	0.111111111111111	0	arrow
PIK3R1_PF00017	PIK3R1	Common	normal	0.111111111111111	0	solid
